address,amount
0x2e1f6a97930f171d81312240e20c5479de9c49d1,419.571722863664165311
0x6576519f0db0efcb376c47d5aed0db782cf2ea25,416.813760637984547107
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,405.368487520000000000
0x2b41bc8cfe4f41c7a87df3b66dbc0ec79c3f8f68,403.465858015128326602
0xbf8f92df6f16515464e8406bb8083cb552c51c71,403.403185925944769722
0x4a7e2122685eea970ee0f5f257c62400d345cafa,403.000102803776001539
0xc4def4dcb2e1a21651073651587da38c36886db7,400.000000000000000000
0x3e9406eb7b05f47b13cfa3ad9e6d0e7fa60e16dc,387.698552248612505929
0x4c025f6dd20925979ab70c16d450fedbb9901025,383.529604757168162315
0x3b722bfb1c27b1edc6c9c2e057c590a9ee57b2b0,380.479275412133435158
0x888888882010a41de640b9776e5d7b384d96460d,379.668245987477459653
0x8cc04195c4de97456f0aed06afaf79fb39eb44c7,379.077435470010511124
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,375.372376180891852124
0xed7532b2325d8501a696158a059b0408bbf5cfe1,373.374839879891848845
0x31af2de5bd9cc50acbe1011a8c72870da46905b8,371.757479661145246370
0xbf99af335c9213628ecac429f94068dd1449cb52,368.043737721251673908
0x717e61157ce63c7cd901dcb2f169f019d16c5ac9,364.419285212395508000
0x5107ba745f16125d5558b4b14176595b65937158,363.603447645383199850
0x7f1712ba15e35cc2f8fc9ccab2528dc8446ecb48,362.400878680630632747
0xa42730ed85e5f0c3073ae21b8315569f4a3ea358,361.018678868765429278
0xc254b6b899d592a7ca1a45316aae2741f41bdff7,360.252025945170223044
0x0098377e5028f52b5fc038dd1775f859e8cfb564,354.829624059237632415
0xc03c4476fbe25138bf724fa1b95551c6e6b8fd2c,353.931688681051746176
0x3716905b040d5cd8a7dde784918199117d72c3b3,351.458813022210875788
0x198e363e2e7d58f521960e4175a7dfe0f59936f2,350.371650919937030191
0xf32ac8a2c974c51e561510e33d4ac927a365f67c,350.000000000000000000
0x2481fef92f6358a410f4b42a7672f23cac514c2a,345.148003692720789494
0x76ba609e4c60f3af25cab2810118c99ba7fa473d,332.692106385946940160
0x112bed7f9661678b7f402d3605f1b95480fe5b9c,331.983025763965148446
0xc52a857fda38994cb6cc8e0de2aedd67a7353e0d,329.249615081188170856
0xe640b7c0d3fcaabf4058610cdc33214a060de9c1,325.074582284056757299
0x7c1908d49266ba2999c41b07b0895c33821f53a9,313.316670067662904456
0xaf529b13ecc8ed44632ac5b187dd2d44e3df6d47,307.684999999996902400
0x208f9b08959ccc7e4a315eb9653ce22b526e37e9,306.602118748493144847
0x1ed322bcf332f474518c4aebac33a5dac706b62e,304.722954312870066739
0xb8aa8be439211ca86423f3a0c5d2f601ce0c7e66,302.534100321031749096
0x85e183215b2ec10fcce76845dcbcfdce10c9b273,300.000535391699797462
0x3f4afc5395c7f3b092632d72dc4ce89a438cc554,300.000000000000000000
0x1bc64307e6ddc620635b862fd2051be32bbf26a3,300.000000000000000000
0xe7cdd473fc582296c47cbd76f330335f2ea79fbe,300.000000000000000000
0x61ba33c5e24dbb7cc9dcd1fad17e17334e8b9f76,300.000000000000000000
0xa5c7b8811aefa3bb14d406f7d4665a4041f1f7d7,300.000000000000000000
0xa9d8663528bcad91d3730792db23d6702553eb5b,300.000000000000000000
0xe92bcd4f1a03bb8a39dfd49f4ec7426bdad64530,298.978327959949222692
0x76e0662b449467003d2df51abb1b4db6fd0a719b,293.442099872732969463
0xd35e119782059a27fead4edda8b555f393650bc8,291.866195561160864278
